Size (B),Block Size (B),Write Chn,Read Chn,Local Buffer Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
2097152,65536,4,4,32768,0.693187,9.25627,3.18574,0.136065,0.000188693,6.10352e-5,2.13506e-7,1.56835e-6
2097152,65536,4,12,0,2.03587,25.2532,9.35646,0.135882,0.00156385,6.10352e-5,3.49587e-10,1.1886e-8
2097152,65536,4,12,32768,2.03195,25.2541,9.33924,0.136191,0.000907512,6.10352e-5,3.49587e-10,1.22356e-8
2097152,65536,6,2,0,1.02824,5.34728,4.72543,0.128194,1.40515e-5,6.10352e-5,6.10206e-5,0.000702165
2097152,65536,6,2,32768,1.02828,5.78465,4.7258,0.12006,2.88221e-5,6.10352e-5,6.10095e-5,0.000670108
2097152,65536,8,8,0,1.36582,17.2534,6.27727,0.139402,0.00016524,6.10352e-5,2.68919e-7,2.11713e-6
2097152,65536,8,8,32768,1.36731,17.2564,6.28469,0.139644,0.000156544,6.10352e-5,1.49012e-7,1.41328e-6
2097152,65536,12,4,0,2.04863,9.43758,9.41424,0.137277,7.25104e-5,6.10352e-5,6.10124e-5,0.000894509
2097152,65536,12,4,32768,2.04451,9.87648,9.39626,0.119832,3.9015e-5,6.10352e-5,6.10166e-5,0.000879899
2097152,131072,1,3,0,0.513001,7.25156,2.35795,0.134826,0.000105817,3.05176e-5,0,0
2097152,131072,1,3,32768,0.515077,7.25201,2.36718,0.135175,0.000176039,3.05176e-5,8.73328e-11,3.05665e-9
2097152,131072,2,2,0,0.355841,5.25164,1.63546,0.13007,3.03233e-5,3.05176e-5,8.44593e-8,6.92147e-7
2097152,131072,2,2,32768,0.356784,5.25336,1.63974,0.130348,2.60873e-5,3.05176e-5,1.05763e-7,7.74686e-7
2097152,131072,2,6,0,1.01861,13.2516,4.68162,0.134934,0.00040161,3.05176e-5,1.74794e-10,6.46737e-9
2097152,131072,2,6,32768,1.02032,13.252,4.68956,0.13528,0.00043771,3.05176e-5,0,0
2097152,131072,3,1,0,0.523517,3.29395,2.4061,0.11953,6.41023e-6,3.05176e-5,3.04732e-5,0.000335702
2097152,131072,3,1,32768,0.523369,3.5131,2.40537,0.116495,6.69808e-6,3.05176e-5,3.03894e-5,0.000322815
2097152,131072,4,4,0,0.692495,9.25176,3.18244,0.134975,7.2143e-5,3.05176e-5,1.97557e-7,1.13167e-6
2097152,131072,4,4,32768,0.693564,9.25513,3.18712,0.135327,5.55811e-5,3.05176e-5,2.09082e-7,2.15264e-6
2097152,131072,4,12,0,2.02528,25.2516,9.30869,0.13442,0.00106271,3.05176e-5,3.49587e-10,5.94299e-9
2097152,131072,4,12,32768,2.02655,25.252,9.31447,0.134838,0.000819445,3.05176e-5,3.49587e-10,1.11868e-8
2097152,131072,6,2,0,1.02881,5.34276,4.72799,0.128061,2.64951e-5,3.05176e-5,3.05092e-5,0.000445803
2097152,131072,6,2,32768,1.02925,5.56178,4.73016,0.127573,1.83247e-5,3.05176e-5,3.05085e-5,0.000436839
2097152,131072,8,8,0,1.36526,17.252,6.27492,0.138253,0.000209332,3.05176e-5,2.8708e-7,2.30386e-6
2097152,131072,8,8,32768,1.36621,17.2568,6.27952,0.138497,0.000185221,3.05176e-5,1.28523e-7,1.43843e-6
2097152,131072,12,4,0,2.0377,9.4311,9.36464,0.135234,6.0588e-5,3.05176e-5,3.05081e-5,0.000542528
2097152,131072,12,4,32768,2.03814,9.6514,9.36675,0.13048,5.06147e-5,3.05176e-5,3.05081e-5,0.000538979
2097152,262144,1,3,0,0.516592,7.25079,2.3738,0.134628,0.000203354,1.52588e-5,8.73328e-11,2.88198e-9
2097152,262144,1,3,32768,0.514259,7.251,2.36309,0.135007,0.000118359,1.52588e-5,8.73328e-11,2.18332e-9
2097152,262144,2,2,0,0.356645,5.25106,1.639,0.130111,2.5893e-5,1.52588e-5,1.25123e-6,2.47412e-6
2097152,262144,2,2,32768,0.357153,5.25535,1.64121,0.130614,2.72245e-5,1.52588e-5,1.25263e-7,1.19634e-6
2097152,262144,2,6,0,1.02038,13.2508,4.68932,0.134681,0.000314046,1.52588e-5,1.74794e-10,5.76819e-9
2097152,262144,2,6,32768,1.02031,13.2511,4.68921,0.134833,0.000420435,1.52588e-5,1.74794e-10,6.64216e-9
2097152,262144,3,1,0,0.52327,3.29241,2.40476,0.122011,1.66054e-5,1.52588e-5,1.5256e-5,0.000216256
2097152,262144,3,1,32768,0.523441,3.40276,2.40563,0.128711,1.6359e-5,1.52588e-5,1.52533e-5,0.000212819
2097152,262144,4,4,0,0.692597,9.25163,3.1829,0.134778,6.73621e-5,1.52588e-5,7.6103e-6,9.79903e-6
2097152,262144,4,4,32768,0.692207,9.27903,3.18156,0.137861,8.60712e-5,1.52588e-5,1.35042e-7,1.31142e-6
2097152,262144,4,12,0,2.03008,25.2509,9.3294,0.134482,0.00116898,1.52588e-5,3.49587e-10,1.25851e-8
2097152,262144,4,12,32768,2.02716,25.2511,9.31656,0.134647,0.00111173,1.52588e-5,3.49587e-10,1.22356e-8
2097152,262144,6,2,0,1.02595,5.33983,4.71499,0.128915,3.35866e-5,1.52588e-5,1.52567e-5,0.000270715
2097152,262144,6,2,32768,1.02723,5.45048,4.72062,0.135817,4.04539e-5,1.52588e-5,1.5257e-5,0.000269295
2097152,262144,8,8,0,1.3652,17.2518,6.27412,0.137115,0.000190765,1.52588e-5,4.66872e-6,8.66177e-6
2097152,262144,8,8,32768,1.36771,17.2658,6.28481,0.138178,0.000356867,1.52588e-5,1.50176e-7,1.84705e-6
2097152,262144,12,4,0,2.03512,9.42744,9.35291,0.134802,0.00010317,1.52588e-5,1.5256e-5,0.000319162
2097152,262144,12,4,32768,2.03985,9.53855,9.37385,0.14152,0.000188649,1.52588e-5,1.5256e-5,0.000318489
4194304,131072,1,3,0,0.515757,7.25156,2.37026,0.134796,0.00145036,3.05176e-5,8.73968e-11,2.18492e-9
4194304,131072,1,3,32768,0.515935,7.25198,2.37115,0.134842,0.00118418,3.05176e-5,0,0
4194304,131072,2,2,0,0.356282,5.25167,1.63744,0.130139,0.000171251,3.05176e-5,1.0879e-7,9.52336e-7
4194304,131072,2,2,32768,0.357319,5.25296,1.6419,0.130302,0.00035721,3.05176e-5,8.65548e-8,7.40343e-7
4194304,131072,2,6,0,1.01939,13.2516,4.68533,0.135015,0.00261917,3.05176e-5,1.74794e-10,5.94299e-9
4194304,131072,2,6,32768,1.02217,13.252,4.69697,0.135055,0.003607,3.05176e-5,1.74794e-10,3.84546e-9
4194304,131072,3,1,0,0.524222,3.29382,2.40908,0.11977,2.16794e-5,3.05176e-5,3.04692e-5,0.000335022
4194304,131072,3,1,32768,0.524377,3.51294,2.40973,0.122838,1.89469e-5,3.05176e-5,3.03675e-5,0.00032236
4194304,131072,4,4,0,0.693097,9.25177,3.18513,0.135277,0.000467944,3.05176e-5,3.22703e-7,1.76311e-6
4194304,131072,4,4,32768,0.694517,9.25432,3.19106,0.135126,0.0011031,3.05176e-5,1.48197e-7,1.53913e-6
4194304,131072,4,12,0,2.03884,25.2517,9.3685,0.135172,0.0076055,3.05176e-5,3.50616e-10,1.26222e-8
4194304,131072,4,12,32768,2.03526,25.252,9.35298,0.135632,0.00778573,3.05176e-5,0,0
4194304,131072,6,2,0,1.02868,5.34259,4.72701,0.127887,4.69305e-5,3.05176e-5,3.05066e-5,0.000445458
4194304,131072,6,2,32768,1.02832,5.56202,4.72546,0.127844,4.27904e-5,3.05176e-5,3.0508e-5,0.00043799
4194304,131072,8,8,0,1.3643,17.2519,6.27018,0.13854,0.000489957,3.05176e-5,1.93715e-7,1.86241e-6
