Size,Eval per Kernel,Repeat,Out of order,Dummy Time (ns),Compute Time (ns),Native Compute Time (ns)
65536,6,64,1,3.4857630729675293,3.9420409202575684,3.914914846420288
65536,6,128,0,3.47443425655365,3.9183424711227417,3.872919201850891
65536,6,128,1,3.472174286842346,3.9457552433013916,3.9019240140914917
65536,8,32,0,3.442995071411133,4.03639030456543,3.9942917823791504
65536,8,32,1,3.5019278526306152,4.057301998138428,4.0069732666015625
65536,8,64,0,3.2958173751831055,3.8378982543945312,3.820688486099243
65536,8,64,1,3.4750900268554688,4.038942337036133,3.987036943435669
65536,8,128,0,4.185322165489197,4.372530102729797,3.9719228744506836
65536,8,128,1,3.5568976402282715,4.026742577552795,3.9806153774261475
65536,16,32,0,3.469773769378662,4.1917314529418945,3.9748382568359375
65536,16,32,1,3.464839458465576,4.013967037200928,3.952859878540039
65536,16,64,0,3.455559015274048,4.15104341506958,3.922905445098877
65536,16,64,1,3.4476163387298584,3.991178512573242,3.9434516429901123
65536,16,128,0,3.3487802743911743,4.16240668296814,3.7234199047088623
65536,16,128,1,3.466002583503723,3.943360924720764,3.9734731912612915
65536,32,32,0,8.791310787200928,9.480767250061035,6.567288398742676
65536,32,32,1,3.402982711791992,7.867605209350586,6.69912576675415
65536,32,64,0,3.3836259841918945,7.9867103099823,7.001779079437256
65536,32,64,1,3.737356185913086,7.780702352523804,6.485466241836548
65536,32,128,0,4.634995937347412,7.835894703865051,6.139315724372864
65536,32,128,1,3.8558242321014404,8.027503967285156,6.1891268491744995
65536,64,32,0,3.486447334289551,16.054218292236328,12.836034297943115
65536,64,32,1,3.4469032287597656,15.604760646820068,12.40532398223877
65536,64,64,0,3.439859628677368,16.022467613220215,12.765033483505249
65536,64,64,1,3.4634945392608643,15.546679496765137,12.32578730583191
65536,64,128,0,4.161365270614624,16.016390323638916,12.184921860694885
65536,64,128,1,3.1348378658294678,13.845574617385864,11.33077621459961
131072,1,32,0,1.7614448070526123,1.8595538139343262,1.8630156517028809
131072,1,32,1,1.589498519897461,1.67044997215271,1.6858866214752197
131072,1,64,0,1.7999765872955322,2.262923002243042,1.844277262687683
131072,1,64,1,1.7451831102371216,1.8692817687988281,1.8556472063064575
131072,1,128,0,1.5771015882492065,1.6764402389526367,1.9574506282806396
131072,1,128,1,2.159342885017395,1.7384034395217896,1.6665546298027039
131072,2,32,0,1.7161989212036133,1.8790414333343506,1.8627848625183105
131072,2,32,1,1.6064252853393555,1.727675437927246,1.7111072540283203
131072,2,64,0,1.8880646228790283,1.914947271347046,1.8938791751861572
131072,2,64,1,1.7524255514144897,1.9311044216156006,1.9045363664627075
131072,2,128,0,1.757471740245819,1.9236287474632263,2.559196174144745
131072,2,128,1,1.7535641193389893,1.9906549453735352,1.9338295459747314
131072,3,32,0,1.6978354454040527,1.9157755374908447,1.906393051147461
131072,3,32,1,1.7679052352905273,1.9776978492736816,1.9832992553710938
131072,3,64,0,1.7114405632019043,1.9247254133224487,1.9054367542266846
131072,3,64,1,1.5709450244903564,1.7610632181167603,1.754733681678772
131072,3,128,0,1.7398355603218079,1.9657890796661377,2.1342437863349915
131072,3,128,1,1.6916950941085815,2.5159958004951477,2.1235676407814026
131072,4,32,0,1.7692193984985352,2.026918411254883,2.011294364929199
131072,4,32,1,1.7581863403320312,2.0255038738250732,2.024761438369751
131072,4,64,0,1.6916271448135376,1.9721547365188599,1.954672932624817
131072,4,64,1,1.7529988288879395,2.615873336791992,2.2730852365493774
