Size,Eval per Kernel,Repeat,Out of order,Dummy Time (ns),Compute Time (ns),Native Compute Time (ns)
128,1,65536,0,1892.0416733026505,1967.161415696144,1971.7230814695358
128,1,65536,1,1945.3981564044952,2016.035836815834,2012.6945983171463
128,1,131072,0,1890.3489044904709,1967.9085072278976,1975.531641125679
128,1,131072,1,1939.2565749883652,1989.7780425548553,2022.1530513167381
256,1,512,0,919.1393585205078,964.297981262207,964.6303787231445
256,1,512,1,961.1898193359375,959.998779296875,974.3277206420898
256,1,1024,0,927.976448059082,982.0578498840332,977.550422668457
256,1,1024,1,932.7923736572266,979.015552520752,989.6271858215332
256,1,2048,0,920.1705379486084,989.1286029815674,974.5311508178711
256,1,2048,1,930.2606506347656,966.6747798919678,996.4539337158203
256,2,512,0,915.9967041015625,958.8144149780273,962.1796264648438
256,2,512,1,956.0149078369141,960.0459213256836,959.0657958984375
256,2,1024,0,915.5324859619141,997.8626289367676,968.7651710510254
256,2,1024,1,949.8596801757812,964.1063346862793,962.4272651672363
256,2,2048,0,947.5710849761963,978.936372756958,985.5198192596436
256,2,2048,1,945.3074245452881,993.3418102264404,987.4005851745605
256,4,512,0,921.7647247314453,1009.2484741210938,1005.5104904174805
256,4,512,1,930.3415603637695,957.834846496582,967.2168197631836
256,4,1024,0,945.9012985229492,982.152774810791,980.33642578125
256,4,1024,1,959.2684936523438,967.8649978637695,973.3498115539551
256,4,2048,0,918.0041770935059,965.3928394317627,977.8350372314453
256,4,2048,1,946.7095470428467,965.9326019287109,967.9823684692383
256,8,512,0,956.347053527832,975.2024154663086,983.8009567260742
256,8,512,1,936.8554000854492,967.3766937255859,988.3796310424805
256,8,1024,0,922.7035675048828,972.1581573486328,974.565860748291
256,8,1024,1,930.7611999511719,1005.6641426086426,976.3171348571777
256,8,2048,0,930.5569400787354,978.9583053588867,1008.5067462921143
256,8,2048,1,938.1965312957764,964.8323287963867,978.2346019744873
512,1,256,0,461.5844268798828,548.6969757080078,494.5512008666992
512,1,256,1,461.5574722290039,551.0334777832031,480.76399993896484
512,1,512,0,457.63276290893555,476.4808044433594,479.12960052490234
512,1,512,1,494.49902725219727,490.1344223022461,479.85276794433594
512,1,1024,0,458.9281978607178,481.03698539733887,512.6120796203613
512,1,1024,1,487.08407974243164,478.267765045166,479.77397537231445
512,2,256,0,467.30442810058594,479.60201263427734,482.62996673583984
512,2,256,1,465.8275375366211,478.13832092285156,476.28038024902344
512,2,512,0,463.34886932373047,478.8193588256836,522.8445014953613
512,2,512,1,465.8605766296387,476.18544006347656,481.5349884033203
512,2,1024,0,484.4781684875488,487.0373058319092,491.07906341552734
