Size,Repeat,Independent Chains,Time (ns)
16384,32,4,5.166414260864258
16384,32,4,5.049568176269531
16384,32,4,5.029632568359375
16384,32,4,5.146080017089844
16384,32,4,5.102390289306641
16384,32,4,4.687904357910156
16384,32,4,4.942255020141602
16384,32,4,5.086387634277344
16384,32,4,5.017602920532227
16384,32,4,5.040737152099609
16384,32,4,5.091804504394531
16384,32,4,4.956256866455078
16384,32,4,5.076511383056641
16384,32,4,4.996673583984375
16384,32,4,5.063838958740234
16384,32,4,5.027273178100586
16384,32,4,5.088323593139648
16384,32,4,5.074522018432617
16384,32,4,5.036735534667969
16384,32,4,5.044147491455078
16384,32,4,5.059169769287109
16384,32,4,7.705394744873047
16384,32,4,5.020223617553711
16384,32,4,4.756959915161133
16384,32,4,4.965095520019531
16384,32,4,5.045957565307617
16384,32,4,5.122570037841797
16384,32,4,5.049198150634766
16384,32,4,5.020263671875
16384,32,4,4.988523483276367
16384,32,8,9.295064926147461
16384,32,8,9.64267349243164
16384,32,8,9.73251724243164
16384,32,8,9.70091438293457
16384,32,8,9.714469909667969
16384,32,8,9.850305557250977
16384,32,8,9.743425369262695
16384,32,8,10.085968017578125
16384,32,8,9.785423278808594
16384,32,8,9.675662994384766
16384,32,8,10.040782928466797
16384,32,8,10.06898307800293
16384,32,8,9.851795196533203
16384,32,8,10.146589279174805
16384,32,8,9.84752082824707
16384,32,8,10.175134658813477
16384,32,8,9.778264999389648
16384,32,8,9.870807647705078
16384,32,8,10.077323913574219
16384,32,8,9.755182266235352
16384,32,8,10.095365524291992
16384,32,8,10.186992645263672
16384,32,8,9.519338607788086
16384,32,8,9.838489532470703
16384,32,8,9.75834846496582
16384,32,8,26.31048011779785
16384,32,8,9.79039192199707
16384,32,8,10.213226318359375
16384,32,8,10.110271453857422
16384,32,8,9.799631118774414
16384,32,8,9.774141311645508
16384,32,8,9.736631393432617
16384,32,8,18.85045623779297
16384,32,8,10.001300811767578
16384,32,8,9.725452423095703
16384,32,8,9.606878280639648
16384,32,8,10.194520950317383
16384,32,8,10.030879974365234
16384,32,8,9.967998504638672
16384,32,8,10.106739044189453
16384,32,8,9.68528938293457
16384,32,8,9.75950813293457
16384,32,8,9.392107009887695
16384,32,8,9.862188339233398
16384,32,8,9.705339431762695
16384,32,8,10.130823135375977
16384,32,8,10.032588958740234
16384,32,8,10.048463821411133
16384,32,8,9.656974792480469
16384,32,8,9.979154586791992
16384,32,16,17.980127334594727
16384,32,16,19.368581771850586
16384,32,16,19.54254913330078
16384,32,16,19.50766372680664
16384,32,16,19.737937927246094
16384,32,16,19.56236457824707
16384,32,16,19.459186553955078
16384,32,16,19.47104835510254
16384,32,16,27.025062561035156
16384,32,16,19.579469680786133
16384,32,16,19.662181854248047
16384,32,16,18.37385368347168
16384,32,16,19.55106544494629
16384,32,16,19.585424423217773
16384,32,16,19.57236099243164
16384,32,16,36.357770919799805
16384,32,16,19.39483070373535
16384,32,16,19.574859619140625
16384,32,16,19.617666244506836
16384,32,16,19.258686065673828
16384,32,16,19.679704666137695
16384,32,16,19.663616180419922
16384,32,16,19.583528518676758
16384,32,16,19.51198959350586
16384,32,16,19.741748809814453
16384,32,16,19.621402740478516
16384,32,16,19.760330200195312
16384,32,16,19.437808990478516
16384,32,16,19.727245330810547
16384,32,16,19.565580368041992
16384,32,16,19.699832916259766
16384,32,16,19.736858367919922
16384,32,16,19.664382934570312
16384,32,16,19.557222366333008
16384,32,16,19.78923797607422
16384,32,16,19.757041931152344
16384,32,16,19.878108978271484
16384,32,16,19.64954948425293
16384,32,16,19.558530807495117
16384,32,16,19.579330444335938
16384,32,16,20.067562103271484
16384,32,16,19.5831298828125
16384,32,16,19.603883743286133
16384,32,16,19.688581466674805
16384,32,16,19.499374389648438
16384,32,16,19.6124210357666
16384,32,16,19.50901222229004
16384,32,16,19.486186981201172
16384,32,16,19.5770263671875
16384,32,16,19.49072265625
16384,64,1,1.1173982620239258
16384,64,1,1.1515331268310547
16384,64,1,1.241541862487793
16384,64,1,1.2276725769042969
16384,64,1,1.3777751922607422
16384,64,1,1.243133544921875
16384,64,1,1.3284988403320312
16384,64,1,1.2237634658813477
16384,64,1,1.2259492874145508
16384,64,1,1.2375984191894531
16384,64,1,1.2236356735229492
16384,64,1,1.1457452774047852
16384,64,1,1.224013328552246
16384,64,1,1.247990608215332
16384,64,1,1.2254533767700195
16384,64,1,1.227808952331543
16384,64,1,1.249053955078125
16384,64,1,1.2317543029785156
16384,64,1,1.2670974731445312
16384,64,1,1.3405685424804688
16384,64,1,1.15863037109375
16384,64,1,1.2471790313720703
16384,64,1,1.3829841613769531
16384,64,1,1.2536096572875977
16384,64,1,1.2565116882324219
16384,64,1,1.2273015975952148
16384,64,1,1.248931884765625
16384,64,1,1.2323064804077148
16384,64,1,1.232980728149414
16384,64,1,1.2285547256469727
16384,64,1,1.1607141494750977
16384,64,1,1.2481803894042969
16384,64,1,1.2285757064819336
16384,64,1,1.2287378311157227
